Dimension : Anvil height,"3.60000",mm
Dimension : Area,"181.17160",mm^2
Dimension : Final anvil height,"3.60000",mm
Dimension : Final area,"181.17160",mm^2
Dimension : Final thickness,"13.46000",mm
Dimension : Final width,"13.46000",mm
Dimension : Geometry,Rectangular
Dimension : Thickness,"13.46000",mm
Dimension : Width,"13.46000",mm

Time,Extension,Load,Compressive strain,Compressive stress,Cycle Count
(sec),(mm),(N),(mm/mm),(MPa),
"21.00600","-0.66297","-0.11860","0.18416","0.00065","17"
"21.10600","-0.82984","-0.61047","0.23051","0.00337","17"
"21.20600","-0.99656","-1.59287","0.27682","0.00879","17"
"21.21000","-1.00328","-1.63580","0.27869","0.00903","17"
"21.21200","-1.00656","-1.65832","0.27960","0.00915","17"
"21.31200","-0.87000","-1.14938","0.24167","0.00634","17"
"21.41200","-0.67906","-0.10379","0.18863","0.00057","17"
"21.51200","-0.50547","-0.02374","0.14041","0.00013","17"
"21.61200","-0.33703","0.07701","0.09362","-0.00043","17"
"21.71200","-0.17016","-0.02447","0.04727","0.00014","17"
"21.81200","-0.00344","-0.01409","0.00095","0.00008","17"
"21.81600","0.00312","-0.01234","-0.00087","0.00007","17"
"21.81800","0.00641","-0.01108","-0.00178","0.00006","18"
"21.91800","-0.13000","-0.06009","0.03611","0.00033","18"
"22.01800","-0.32109","-0.06458","0.08919","0.00036","18"
"22.11800","-0.49453","0.02068","0.13737","-0.00011","18"
"22.21800","-0.66281","-0.11689","0.18411","0.00065","18"
"22.31800","-0.82984","-0.59197","0.23051","0.00327","18"
"22.41800","-0.99656","-1.65153","0.27682","0.00912","18"
"22.42200","-1.00328","-1.69935","0.27869","0.00938","18"
"22.42400","-1.00656","-1.72474","0.27960","0.00952","18"
"22.52400","-0.87016","-1.14432","0.24171","0.00632","18"
"22.62400","-0.67891","-0.14246","0.18859","0.00079","18"
"22.72400","-0.50563","-0.07602","0.14045","0.00042","18"
"22.82400","-0.33703","0.04825","0.09362","-0.00027","18"
"22.92400","-0.17016","-0.05463","0.04727","0.00030","18"
"23.02400","-0.00359","-0.02119","0.00100","0.00012","18"
"23.02800","0.00312","-0.01132","-0.00087","0.00006","18"
"23.03000","0.00641","-0.00723","-0.00178","0.00004","19"
"23.13000","-0.13000","-0.02042","0.03611","0.00011","19"
"23.23000","-0.32109","-0.04450","0.08919","0.00025","19"
"23.33000","-0.49453","-0.07055","0.13737","0.00039","19"
"23.43000","-0.66297","-0.12285","0.18416","0.00068","19"
"23.53000","-0.82984","-0.61438","0.23051","0.00339","19"
"23.63000","-0.99656","-1.62769","0.27682","0.00898","19"
"23.63400","-1.00328","-1.67559","0.27869","0.00925","19"
"23.63600","-1.00656","-1.70101","0.27960","0.00939","19"
